fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-04-25,San Diego Padres @ Arizona Diamondbacks,TOTAL,Under 15.5,1.94,0.52,91.68,win,0.94,1,10.43,1042.61,1052.41,9.8,93.96,,2026-06-05 14:54:18
2026-04-25,Athletics @ Texas Rangers,TOTAL,Over 8.0,1.94,0.52,20.43,lose,-1.0,1,10.52,1052.41,1041.89,-10.52,-100.0,,2026-06-05 14:54:18
2026-04-25,New York Yankees @ Houston Astros,RL,New York Yankees,2.1,0.8031,20.92,win,1.1,1,10.42,1041.89,1053.35,11.46,109.98,,2026-06-05 14:54:18
2026-04-25,Pittsburgh Pirates @ Milwaukee Brewers,ML,Pittsburgh Pirates,2.22,0.5837,29.58,win,1.22,1,10.53,1053.35,1066.2,12.85,122.03,,2026-06-05 14:54:18
2026-04-25,Detroit Tigers @ Cincinnati Reds,ML,Detroit Tigers,1.95,0.806,57.17,lose,-1.0,1,10.66,1066.2,1055.54,-10.66,-100.0,,2026-06-05 14:54:18
2026-04-25,Chicago Cubs @ Los Angeles Dodgers,ML,Chicago Cubs,2.2,0.7349,61.68,lose,-1.0,1,10.56,1055.54,1044.98,-10.56,-100.0,,2026-06-05 14:54:18
2026-04-26,Detroit Tigers @ Cincinnati Reds,ML,Detroit Tigers,2.05,0.6472,32.68,win,1.05,1,10.45,1044.98,1055.95,10.97,104.98,,2026-06-05 14:54:18
2026-04-26,Colorado Rockies @ New York Mets,TOTAL,Over 6.5,1.99,0.52,21.45,lose,-1.0,1,10.56,1055.95,1045.39,-10.56,-100.0,,2026-06-05 14:54:18
2026-04-26,Minnesota Twins @ Tampa Bay Rays,TOTAL,Over 8.5,2.05,0.52,49.72,lose,-1.0,1,10.45,1045.39,1034.94,-10.45,-100.0,,2026-06-05 14:54:18
2026-04-26,Washington Nationals @ Chicago White Sox,ML,Chicago White Sox,1.87,0.6233,16.56,lose,-1.0,1,10.35,1034.94,1024.59,-10.35,-100.0,,2026-06-05 14:54:18
2026-04-26,New York Yankees @ Houston Astros,TOTAL,Under 9.5,2.0,0.52,14.66,lose,-1.0,1,10.25,1024.59,1014.34,-10.25,-100.0,,2026-06-05 14:54:18
2026-04-26,Pittsburgh Pirates @ Milwaukee Brewers,ML,Pittsburgh Pirates,2.05,0.567,16.23,lose,-1.0,1,10.14,1014.34,1004.2,-10.14,-100.0,,2026-06-05 14:54:18
2026-04-26,Seattle Mariners @ St. Louis Cardinals,ML,Seattle Mariners,1.79,0.6528,16.85,win,0.79,1,10.04,1004.2,1012.13,7.93,78.98,,2026-06-05 14:54:18
2026-04-26,Athletics @ Texas Rangers,TOTAL,Over 8.5,1.95,0.52,14.78,lose,-1.0,1,10.12,1012.13,1002.01,-10.12,-100.0,,2026-06-05 14:54:18
2026-04-26,San Diego Padres @ Arizona Diamondbacks,TOTAL,Under 15.0,1.91,0.52,89.53,lose,-1.0,1,10.02,1002.01,991.99,-10.02,-100.0,,2026-06-05 14:54:18
2026-04-26,Miami Marlins @ San Francisco Giants,TOTAL,Under 7.5,1.96,0.52,11.57,lose,-1.0,1,9.92,991.99,982.07,-9.92,-100.0,,2026-06-05 14:54:18
2026-04-26,Los Angeles Angels @ Kansas City Royals,TOTAL,Under 8.5,1.98,0.52,14.12,lose,-1.0,1,9.82,982.07,972.25,-9.82,-100.0,,2026-06-05 14:54:18
